file,line,import,type,confidence,auto_fix
/home/user/Isaac/isaac/ai/claude_client.py,6,import json,module,High,Y
/home/user/Isaac/isaac/ai/cost_optimizer.py,20,import time,module,High,Y
/home/user/Isaac/isaac/ai/rag_engine.py,9,from typing import Optional,function/class,High,Y
/home/user/Isaac/isaac/ai/routing_config.py,17,from enum import Enum,function/class,High,Y
/home/user/Isaac/isaac/ai/session_manager.py,344,import sys,module,High,Y
/home/user/Isaac/isaac/ai/task_analyzer.py,18,from typing import Tuple,function/class,High,Y
/home/user/Isaac/isaac/ai/task_analyzer.py,20,from pathlib import Path,function/class,High,Y
/home/user/Isaac/isaac/ai/task_planner.py,7,from typing import List,function/class,High,Y
/home/user/Isaac/isaac/ai/task_planner.py,10,from isaac.models.task_history import TaskHistory,function/class,High,Y
/home/user/Isaac/isaac/ai/task_runner.py,6,from typing import List,function/class,High,Y
/home/user/Isaac/isaac/ai/task_runner.py,7,from isaac.adapters.base_adapter import CommandResult,function/class,High,Y
/home/user/Isaac/isaac/ai/validator.py,9,from typing import List,function/class,High,Y
/home/user/Isaac/isaac/ai/xai_client.py,8,from typing import List,function/class,High,Y
/home/user/Isaac/isaac/ai/xai_collections_client.py,10,import json,module,High,Y
/home/user/Isaac/isaac/ambient/proactive_suggester.py,8,from typing import Callable,function/class,High,Y
/home/user/Isaac/isaac/ambient/workflow_learner.py,9,from typing import Tuple,function/class,High,Y
/home/user/Isaac/isaac/ambient/workflow_learner.py,9,from typing import Set,function/class,High,Y
/home/user/Isaac/isaac/ambient/workflow_learner.py,12,import re,module,High,Y
/home/user/Isaac/isaac/analytics/dashboard_builder.py,7,import json,module,High,Y
/home/user/Isaac/isaac/analytics/dashboard_builder.py,8,from datetime import timedelta,function/class,High,Y
/home/user/Isaac/isaac/analytics/dashboard_builder.py,10,from dataclasses import asdict,function/class,High,Y
/home/user/Isaac/isaac/analytics/report_exporter.py,11,from typing import List,function/class,High,Y
/home/user/Isaac/isaac/arvr/multimodal_input.py,350,from isaac.arvr.spatial_api import Vector3D,function/class,High,Y
/home/user/Isaac/isaac/arvr/platform_adapter.py,14,from isaac.arvr.spatial_api import Quaternion,function/class,High,Y
/home/user/Isaac/isaac/arvr/platform_adapter.py,15,from isaac.arvr.gesture_api import Gesture,function/class,High,Y
/home/user/Isaac/isaac/arvr/platform_adapter.py,15,from isaac.arvr.gesture_api import GestureType,function/class,High,Y
/home/user/Isaac/isaac/arvr/platform_adapter.py,15,from isaac.arvr.gesture_api import HandType,function/class,High,Y
