Command,Primary File,Syntax Pattern,Positional Args,Optional Args,Short Flags,Long Flags,Default Values,Help Text,Examples,Schema Compliant,Inconsistencies,Priority Fix
/alias,commands/alias/run.py,stdin-json + custom flag parser,None,"show, enable, disable, add, remove",None,"--list, --show, --enable, --disable, --add, --remove, --help",list=default,Y,Y,Partial,Custom flag parser instead of argparse; session dict mutation,P1
/ambient,commands/ambient/run.py,Command class delegate,Variable (sys.argv[1:]),Unknown,Unknown,Unknown,Unknown,N,N,N,No JSON envelope; sys.argv; delegates to class,P2
/analyze,commands/analyze/run.py,stdin-json (blob format),analysis_type (from command),None,None,None,analysis_type='general',N,N,Partial,Blob format instead of envelope; no help,P2
/apropos,commands/apropos/run.py,stdin-json + sys.argv fallback,keyword (required),None,None,None,None,N,N,Partial,No JSON envelope; direct print; no examples,P2
/arvr,commands/arvr/run.py,Unknown (not analyzed),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not analyzed in detail,P3
/ask,commands/ask/run.py,Complex hybrid (blob/envelope/standalone),question (from command/args),None,None,None,None,N,N,N,Multiple output formats; complex mode detection; no help,P1
/backup,commands/backup/run.py,stdin-json (placeholder),None,target,"",""target='all',N,N,N,Placeholder implementation (not functional),P0
/bubble,commands/bubble/run.py,Custom sys.argv parsing,action (required),"name, description, tags, bubble-id, file, suspend-processes",None,"--name, --description, --tags, --bubble-id, --file, --suspend-processes",Multiple per action,N,N,N,No JSON envelope; manual parsing; sys.argv,P2
/claude-artifacts,Unknown,Unknown (stub),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Empty stub command,P0
/config,commands/config/run.py,stdin-json + extensive flags,None,"status, ai, cloud, plugins, collections, console, set, apikey, ai-routing, ai-routing-set, ai-routing-model, ai-routing-limits, ai-routing-reset, env, env-validate, env-create",None,"--status, --ai, --cloud, --plugins, --collections, --console, --set, --apikey, --ai-routing, --ai-routing-set, --ai-routing-model, --ai-routing-limits, --ai-routing-reset, --env, --env-validate, --env-create",Shows overview if no flags,Y,Y,Y,None - well-structured,P3
/debug,commands/debug/run.py,Args dict from dispatcher,None,"mode, command, error, output",None,None,mode='full',N,N,Partial,No JSON envelope; no examples,P2
/edit,commands/edit/run.py,argparse + EditTool,"file_path, old_string, new_string",help-cmd,-,"--replace-all, --help-cmd","replace_all=False, help_cmd=False",Y,Y,Y,Dual output (TTY/non-TTY) - minor,P3
/file,commands/file/run.py,argparse with subcommands,Varies by subcommand,Subcommand-specific,Varies,"--offset, --limit, --overwrite, --replace-all",Various per subcommand,Y,Y,Y,None - excellent unified design,P3
/glob,commands/glob/run.py,argparse + GlobTool,pattern (required),path,,"--path",path=cwd,Y,Y,Y,Double output (human + JSON),P2
/grep,commands/grep/run.py,argparse + GrepTool,pattern (required),"path, glob_pattern, ignore_case, context, output, help-cmd","-i, -C","--path, --glob, --ignore-case, --context, --output, --help-cmd","path='.', context=0, output='files'",Y,Y,Y,None - well-structured,P3
/help,commands/help/run.py,stdin-json,command (optional),None,None,None,Shows overview if no command,Y,Y,Y,None - well-structured,P3
/help_unified,commands/help_unified/run.py,Custom sys.argv parser,Variable,"search, whatis, man, all, verbose","-s, -w, -m, -a, -v","--search, --whatis, --man, --all, --verbose",Lists all if no args,Y,Y,Partial,No JSON envelope; sys.argv,P2
/images,commands/images/run.py,Manual sys.argv parsing,None,"action, query, checksum, limit",None,"--action, --query, --checksum, --limit","action='history', limit=10",N,N,N,No JSON envelope; sys.argv; no help,P2
/learn,commands/learn/run.py,Command class delegate,sys.argv[1:],Unknown,Unknown,Unknown,Unknown,N,N,N,No JSON envelope; sys.argv; delegates to class,P2
/list,commands/list/run.py,stdin-json (placeholder),None,list_name,None,None,list_name='default',N,N,N,Placeholder implementation (not functional),P0
/machine,commands/machine/run.py,Manual sys.argv parsing,action (required),"machine-id, hostname, ip-address, port, tags, group-name, group-members, filter-tags, min-cpu, min-memory",None,"--machine-id, --hostname, --ip-address, --port, --tags, --group-name, --group-members, --filter-tags, --min-cpu, --min-memory",Multiple per action,Y,N,N,No JSON envelope; manual sys.argv; no examples,P1
